No,Species,Light_Cat,Core,Soil,Sterile,Conspecific,Census,Time
126,1,1,2017,0,0,0,4,14.0
11,3,1,2017,1,0,0,33,115.5
12,4,1,2017,0,0,0,18,63.0
2823,1,1,2016,0,0,0,4,14.0
5679,1,0,2017,0,0,0,4,14.0
18,2,1,2016,2,0,0,7,24.5
25,3,1,2016,3,0,0,7,24.5
40,4,1,2017,4,1,1,7,24.5
26,4,1,2016,5,0,0,33,115.5
41,1,1,2016,3,0,0,7,24.5
30,4,1,2017,0,0,0,33,115.5
33,3,1,2017,5,0,0,21,73.5
34,3,1,2016,6,0,2,21,73.5
37,3,1,2017,2,0,0,17,59.5
42,3,1,2016,4,1,1,7,24.5
39,3,1,2017,1,0,0,33,115.5
50,4,1,2017,4,1,1,7,24.5
68,4,1,2017,1,0,2,7,24.5
91,1,1,2016,3,0,0,7,24.5
98,1,1,2017,5,0,2,7,24.5
130,1,1,2017,4,1,1,7,24.5
134,1,1,2016,6,0,0,7,24.5
55,4,1,2017,1,0,2,33,115.5
142,3,1,2017,2,0,0,7,24.5
59,3,1,2016,6,0,2,21,73.5
61,3,1,2016,5,0,0,21,73.5
148,3,1,2017,1,0,0,7,24.5
63,1,1,2016,3,0,0,17,59.5
151,3,1,2016,1,0,0,7,24.5
154,4,1,2016,5,0,0,7,24.5
74,3,1,2016,3,0,0,33,115.5
83,4,1,2017,6,0,0,33,115.5
85,3,1,2017,2,0,0,33,115.5
89,3,1,2017,2,0,0,33,115.5
164,3,1,2017,3,0,0,7,24.5
166,1,1,2017,2,0,0,7,24.5
93,1,1,2016,4,1,1,19,66.5
169,3,1,2017,3,0,0,7,24.5
178,4,1,2017,5,0,0,7,24.5
183,1,1,2016,2,0,0,7,24.5
200,2,1,2016,3,0,0,7,24.5
212,4,1,2016,1,0,2,7,24.5
108,3,1,2017,0,0,0,33,115.5
217,3,1,2017,0,0,0,7,24.5
225,3,1,2017,4,1,1,7,24.5
237,3,1,2016,6,0,2,7,24.5
244,1,1,2016,3,0,0,7,24.5
273,1,1,2016,3,0,0,7,24.5
278,3,1,2017,5,0,0,7,24.5
124,3,1,2017,1,0,0,20,70.0
286,4,1,2016,6,0,0,7,24.5
127,4,1,2017,6,0,0,18,63.0
297,4,1,2017,2,0,0,7,24.5
298,3,1,2017,5,0,0,7,24.5
135,4,1,2017,4,1,1,33,115.5
312,4,1,2016,5,0,0,7,24.5
